passenger_number,Class,Sex,Age,Survived
754,3rd,Male,Adult,No
755,Crew,Male,Adult,Yes
756,Crew,Male,Adult,No
757,3rd,Female,Adult,No
758,3rd,Male,Adult,No
759,Crew,Male,Adult,No
760,Crew,Male,Adult,No
761,1st,Male,Adult,No
762,1st,Male,Adult,No
763,3rd,Male,Adult,No
764,3rd,Male,Adult,No
765,1st,Female,Adult,Yes
766,3rd,Male,Adult,Yes
767,Crew,Male,Adult,Yes
768,1st,Female,Adult,Yes
769,Crew,Female,Adult,Yes
770,2nd,Male,Adult,No
771,Crew,Male,Adult,Yes
772,1st,Male,Adult,No
773,Crew,Male,Adult,Yes
774,3rd,Female,Adult,No
775,Crew,Female,Adult,Yes
776,3rd,Male,Adult,No
777,Crew,Male,Adult,No
778,Crew,Male,Adult,No
779,Crew,Male,Adult,No
780,1st,Male,Adult,Yes
781,Crew,Male,Adult,No
782,3rd,Male,Adult,No
783,2nd,Female,Child,Yes
784,3rd,Male,Adult,Yes
785,Crew,Male,Adult,Yes
786,3rd,Male,Adult,No
787,Crew,Male,Adult,No
788,1st,Female,Adult,Yes
789,Crew,Male,Adult,No
790,3rd,Female,Child,Yes
791,3rd,Male,Adult,No
792,3rd,Male,Adult,No
793,Crew,Male,Adult,Yes
794,Crew,Male,Adult,No
795,3rd,Male,Adult,No
796,Crew,Male,Adult,Yes
797,Crew,Male,Adult,No
798,Crew,Male,Adult,No
799,3rd,Female,Adult,Yes
800,Crew,Male,Adult,No
801,1st,Male,Adult,No
802,2nd,Female,Adult,No
803,3rd,Female,Child,Yes
804,1st,Male,Adult,No
805,3rd,Female,Adult,Yes
806,Crew,Male,Adult,No
807,Crew,Male,Adult,No
808,2nd,Female,Child,Yes
809,3rd,Male,Adult,Yes
810,3rd,Male,Adult,No
811,1st,Female,Adult,Yes
812,3rd,Male,Adult,Yes
813,1st,Male,Adult,No
814,Crew,Male,Adult,No
815,3rd,Female,Adult,No
816,3rd,Male,Adult,No
817,2nd,Male,Child,Yes
818,Crew,Male,Adult,No
819,3rd,Male,Adult,No
820,Crew,Male,Adult,Yes
821,3rd,Female,Adult,Yes
822,Crew,Male,Adult,No
823,Crew,Male,Adult,No
824,3rd,Female,Adult,No
825,Crew,Male,Adult,No
826,Crew,Male,Adult,No
827,3rd,Male,Adult,Yes
828,3rd,Male,Adult,No
829,3rd,Male,Adult,No
830,3rd,Male,Adult,No
831,Crew,Male,Adult,No
832,3rd,Male,Adult,No
833,Crew,Male,Adult,No
834,Crew,Male,Adult,No
835,1st,Male,Adult,Yes
836,2nd,Male,Adult,No
837,1st,Male,Adult,Yes
838,3rd,Male,Adult,No
839,Crew,Male,Adult,No
840,3rd,Female,Adult,Yes
841,Crew,Male,Adult,No
842,Crew,Male,Adult,No
843,3rd,Female,Adult,No
844,3rd,Male,Adult,No
845,3rd,Male,Child,Yes
846,Crew,Male,Adult,No
847,3rd,Male,Adult,No
848,Crew,Male,Adult,No
849,3rd,Male,Adult,No
850,Crew,Male,Adult,No
851,Crew,Male,Adult,No
852,Crew,Male,Adult,No
853,2nd,Female,Adult,Yes
854,Crew,Male,Adult,Yes
855,3rd,Male,Adult,No
856,3rd,Male,Adult,No
857,3rd,Male,Adult,No
858,2nd,Female,Adult,No
859,3rd,Male,Adult,Yes
860,Crew,Male,Adult,No
861,3rd,Female,Adult,No
862,Crew,Male,Adult,No
863,Crew,Male,Adult,No
864,3rd,Male,Child,No
865,1st,Male,Adult,No
866,2nd,Male,Adult,No
867,3rd,Female,Adult,No
868,3rd,Female,Adult,Yes
869,2nd,Male,Adult,No
870,Crew,Male,Adult,Yes
871,3rd,Male,Adult,No
872,3rd,Female,Adult,No
873,1st,Female,Adult,Yes
874,2nd,Female,Adult,Yes
875,1st,Male,Adult,No
876,Crew,Male,Adult,No
877,3rd,Male,Adult,Yes
878,Crew,Male,Adult,No
879,3rd,Male,Adult,Yes
880,Crew,Male,Adult,No
881,Crew,Male,Adult,Yes
882,Crew,Male,Adult,No
883,Crew,Male,Adult,No
884,1st,Female,Adult,Yes
885,3rd,Male,Adult,No
886,Crew,Male,Adult,No
887,Crew,Male,Adult,Yes
888,2nd,Male,Adult,No
889,1st,Female,Adult,Yes
890,Crew,Male,Adult,No
891,3rd,Male,Child,Yes
892,Crew,Male,Adult,No
893,Crew,Male,Adult,No
894,Crew,Male,Adult,No
895,Crew,Male,Adult,Yes
896,3rd,Female,Adult,No
897,3rd,Male,Adult,No
898,2nd,Male,Adult,No
899,3rd,Male,Adult,No
900,1st,Female,Adult,Yes
901,Crew,Male,Adult,No
902,3rd,Female,Child,No
903,Crew,Male,Adult,No
904,Crew,Male,Adult,No
905,3rd,Female,Adult,No
906,Crew,Male,Adult,No
907,3rd,Male,Child,No
908,Crew,Male,Adult,Yes
909,Crew,Male,Adult,No
910,1st,Male,Adult,Yes
911,3rd,Male,Adult,No
912,Crew,Male,Adult,No
913,3rd,Male,Adult,No
914,3rd,Male,Adult,No
915,Crew,Male,Adult,No
916,2nd,Female,Adult,Yes
917,Crew,Male,Adult,No
918,1st,Male,Adult,Yes
919,3rd,Male,Child,No
920,2nd,Female,Adult,Yes
921,Crew,Male,Adult,No
922,2nd,Male,Adult,No
923,Crew,Male,Adult,Yes
924,3rd,Male,Adult,No
925,Crew,Male,Adult,No
926,Crew,Male,Adult,No
927,1st,Female,Adult,Yes
928,2nd,Female,Adult,Yes
929,2nd,Female,Adult,Yes
930,1st,Female,Adult,Yes
931,2nd,Female,Adult,No
932,Crew,Male,Adult,No
933,Crew,Male,Adult,No
934,Crew,Male,Adult,No
935,2nd,Male,Adult,No
936,Crew,Male,Adult,Yes
937,3rd,Female,Adult,No
938,Crew,Male,Adult,No
939,3rd,Male,Adult,No
940,Crew,Male,Adult,No
941,3rd,Male,Adult,No
942,3rd,Male,Adult,Yes
943,3rd,Male,Adult,No
944,1st,Male,Adult,Yes
945,3rd,Female,Adult,Yes
946,3rd,Male,Adult,No
947,3rd,Male,Child,No
948,Crew,Male,Adult,No
949,Crew,Male,Adult,No
950,2nd,Female,Adult,Yes
951,3rd,Female,Adult,No
952,Crew,Male,Adult,No
953,Crew,Male,Adult,No
954,Crew,Male,Adult,No
955,Crew,Male,Adult,No
956,Crew,Male,Adult,No
957,1st,Male,Adult,No
958,Crew,Male,Adult,No
959,Crew,Male,Adult,No
960,1st,Female,Adult,Yes
961,Crew,Female,Adult,Yes
962,1st,Male,Adult,No
963,Crew,Male,Adult,No
964,1st,Female,Adult,Yes
965,2nd,Male,Adult,No
966,1st,Female,Adult,Yes
967,Crew,Male,Adult,Yes
968,1st,Male,Adult,No
969,Crew,Male,Adult,No
970,Crew,Male,Adult,No
971,3rd,Female,Adult,No
972,2nd,Female,Child,Yes
973,3rd,Male,Adult,No
974,Crew,Male,Adult,No
975,2nd,Male,Adult,No
976,3rd,Female,Adult,Yes
977,Crew,Male,Adult,No
978,Crew,Male,Adult,No
979,3rd,Female,Adult,No
980,1st,Male,Adult,No
981,3rd,Female,Adult,No
982,3rd,Male,Adult,No
983,Crew,Male,Adult,No
984,3rd,Male,Adult,No
985,Crew,Male,Adult,No
986,Crew,Male,Adult,Yes
987,Crew,Male,Adult,No
988,Crew,Male,Adult,Yes
989,3rd,Male,Adult,No
990,Crew,Male,Adult,No
991,3rd,Male,Adult,No
992,3rd,Male,Adult,No
993,3rd,Female,Adult,Yes
994,1st,Female,Adult,Yes
995,3rd,Female,Adult,No
996,Crew,Male,Adult,No
997,Crew,Male,Adult,No
998,1st,Female,Adult,Yes
999,Crew,Male,Adult,No
1000,Crew,Male,Adult,No
1001,1st,Male,Adult,Yes
1002,2nd,Female,Child,Yes
1003,Crew,Male,Adult,No
1004,Crew,Male,Adult,No
1005,1st,Male,Adult,No
1006,Crew,Male,Adult,Yes
1007,Crew,Male,Adult,No
1008,Crew,Male,Adult,No
1009,3rd,Male,Adult,No
1010,1st,Male,Adult,Yes
1011,3rd,Male,Adult,Yes
1012,3rd,Male,Adult,No
1013,Crew,Male,Adult,No
1014,2nd,Female,Adult,Yes
1015,3rd,Female,Child,Yes
1016,Crew,Male,Adult,No
1017,Crew,Male,Adult,No
1018,Crew,Male,Adult,Yes
1019,Crew,Male,Adult,No
1020,1st,Female,Adult,Yes
1021,3rd,Female,Adult,No
1022,1st,Female,Adult,Yes
1023,3rd,Male,Adult,No
1024,3rd,Male,Adult,No
1025,Crew,Male,Adult,No
1026,3rd,Male,Adult,No
1027,Crew,Male,Adult,No
1028,Crew,Male,Adult,No
1029,Crew,Male,Adult,No
1030,1st,Male,Adult,Yes
1031,Crew,Male,Adult,No
1032,2nd,Female,Adult,Yes
1033,2nd,Female,Adult,Yes
1034,Crew,Male,Adult,No
1035,3rd,Male,Adult,No
1036,1st,Male,Adult,Yes
1037,Crew,Male,Adult,No
1038,1st,Female,Adult,Yes
1039,3rd,Male,Adult,No
1040,3rd,Male,Adult,No
1041,3rd,Female,Adult,Yes
1042,Crew,Male,Adult,No
1043,2nd,Male,Adult,No
1044,1st,Male,Adult,No
1045,Crew,Male,Adult,Yes
1046,3rd,Female,Child,No
1047,3rd,Male,Adult,Yes
1048,3rd,Female,Adult,Yes
1049,1st,Male,Adult,No
1050,3rd,Male,Adult,No
1051,Crew,Male,Adult,No
1052,3rd,Male,Adult,No
1053,Crew,Male,Adult,No
1054,3rd,Male,Adult,No
1055,3rd,Male,Adult,Yes
1056,Crew,Male,Adult,No
1057,2nd,Female,Adult,Yes
1058,1st,Female,Adult,Yes
1059,Crew,Male,Adult,No
1060,Crew,Male,Adult,No
1061,3rd,Female,Adult,No
1062,3rd,Male,Adult,No
1063,3rd,Male,Adult,No
1064,Crew,Male,Adult,No
1065,1st,Female,Adult,Yes
1066,1st,Female,Adult,Yes
1067,3rd,Female,Adult,No
1068,Crew,Male,Adult,Yes
1069,3rd,Male,Adult,No
1070,Crew,Male,Adult,No
1071,Crew,Male,Adult,No
1072,3rd,Male,Adult,No
1073,1st,Female,Adult,Yes
1074,Crew,Male,Adult,Yes
1075,3rd,Male,Adult,No
1076,Crew,Male,Adult,No
1077,Crew,Male,Adult,No
1078,3rd,Male,Adult,No
1079,Crew,Male,Adult,Yes
1080,Crew,Male,Adult,Yes
1081,2nd,Male,Adult,No
1082,Crew,Male,Adult,Yes
1083,Crew,Male,Adult,No
1084,Crew,Male,Adult,No
1085,1st,Female,Adult,Yes
1086,Crew,Male,Adult,No
1087,3rd,Male,Adult,Yes
1088,Crew,Male,Adult,No
1089,1st,Male,Adult,No
1090,3rd,Male,Adult,No
1091,3rd,Male,Adult,No
1092,3rd,Male,Adult,No
1093,Crew,Male,Adult,No
1094,Crew,Male,Adult,No
1095,1st,Female,Adult,Yes
1096,Crew,Male,Adult,No
1097,Crew,Male,Adult,No
1098,3rd,Male,Adult,No
1099,3rd,Male,Adult,No
1100,Crew,Male,Adult,No
1101,Crew,Male,Adult,No
1102,1st,Female,Adult,Yes
1103,2nd,Male,Child,Yes
1104,3rd,Female,Adult,No
1105,Crew,Male,Adult,No
1106,Crew,Male,Adult,No
1107,3rd,Female,Adult,Yes
1108,1st,Female,Adult,Yes
1109,Crew,Male,Adult,No
1110,3rd,Male,Adult,No
1111,Crew,Male,Adult,No
1112,Crew,Male,Adult,No
1113,Crew,Male,Adult,No
1114,3rd,Male,Adult,No
1115,2nd,Female,Adult,No
1116,3rd,Female,Adult,No
1117,2nd,Female,Adult,No
1118,Crew,Male,Adult,No
1119,Crew,Male,Adult,No
1120,Crew,Male,Adult,No
1121,3rd,Male,Child,Yes
1122,Crew,Male,Adult,No
1123,3rd,Male,Adult,Yes
1124,3rd,Female,Child,Yes
1125,3rd,Male,Adult,No
1126,1st,Female,Adult,Yes
1127,Crew,Male,Adult,Yes
1128,Crew,Male,Adult,No
1129,Crew,Male,Adult,No
1130,1st,Male,Adult,No
1131,2nd,Male,Adult,No
1132,3rd,Female,Adult,No
1133,2nd,Male,Adult,No
1134,Crew,Male,Adult,Yes
1135,Crew,Male,Adult,Yes
1136,3rd,Male,Adult,No
1137,1st,Male,Adult,Yes
1138,1st,Male,Adult,No
1139,2nd,Female,Adult,Yes
1140,Crew,Male,Adult,No
1141,1st,Female,Adult,Yes
1142,Crew,Male,Adult,No
1143,2nd,Male,Child,Yes
1144,3rd,Male,Adult,No
1145,Crew,Male,Adult,No
1146,Crew,Male,Adult,No
1147,Crew,Male,Adult,No
1148,Crew,Male,Adult,No
1149,3rd,Male,Adult,No
1150,1st,Female,Adult,Yes
1151,3rd,Male,Adult,No
1152,2nd,Male,Adult,No
1153,3rd,Male,Adult,No
1154,Crew,Male,Adult,No
1155,Crew,Male,Adult,No
1156,2nd,Male,Adult,No
1157,2nd,Female,Adult,Yes
1158,Crew,Male,Adult,No
1159,Crew,Male,Adult,Yes
1160,Crew,Male,Adult,No
1161,1st,Male,Adult,No
1162,3rd,Male,Adult,No
1163,3rd,Male,Adult,No
1164,Crew,Male,Adult,No
1165,3rd,Female,Adult,Yes
1166,3rd,Female,Adult,Yes
1167,3rd,Male,Child,No
1168,1st,Female,Adult,Yes
1169,3rd,Male,Child,Yes
1170,Crew,Male,Adult,No
1171,1st,Male,Adult,No
1172,1st,Female,Adult,Yes
1173,3rd,Male,Adult,No
1174,Crew,Male,Adult,No
1175,3rd,Male,Adult,Yes
1176,1st,Female,Adult,Yes
1177,2nd,Male,Adult,No
1178,Crew,Male,Adult,Yes
1179,Crew,Male,Adult,No
1180,3rd,Male,Adult,No
1181,Crew,Male,Adult,No
1182,3rd,Male,Adult,No
1183,3rd,Male,Adult,No
1184,1st,Male,Adult,Yes
1185,3rd,Male,Child,No
1186,1st,Female,Adult,Yes
1187,Crew,Male,Adult,Yes
1188,2nd,Male,Adult,Yes
1189,Crew,Male,Adult,No
1190,Crew,Male,Adult,No
1191,3rd,Male,Adult,No
1192,Crew,Male,Adult,No
1193,1st,Female,Adult,Yes
1194,2nd,Female,Adult,Yes
1195,3rd,Female,Adult,Yes
1196,2nd,Male,Adult,No
1197,2nd,Male,Adult,No
1198,Crew,Male,Adult,Yes
1199,2nd,Male,Adult,No
1200,3rd,Male,Adult,No
1201,Crew,Male,Adult,Yes
1202,3rd,Female,Adult,No
1203,3rd,Male,Adult,No
1204,Crew,Male,Adult,No
1205,2nd,Female,Adult,Yes
1206,Crew,Male,Adult,No
1207,3rd,Male,Child,Yes
1208,Crew,Male,Adult,Yes
1209,2nd,Male,Adult,No
1210,1st,Female,Adult,Yes
1211,1st,Female,Adult,Yes
1212,Crew,Male,Adult,No
1213,Crew,Male,Adult,Yes
1214,3rd,Male,Adult,No
1215,2nd,Female,Adult,No
1216,2nd,Male,Adult,Yes
1217,1st,Female,Adult,Yes
1218,1st,Female,Adult,Yes
1219,Crew,Male,Adult,No
1220,1st,Female,Adult,Yes
1221,3rd,Male,Adult,No
1222,3rd,Female,Adult,No
1223,3rd,Female,Adult,Yes
1224,Crew,Male,Adult,No
1225,2nd,Male,Adult,No
1226,3rd,Male,Adult,Yes
1227,Crew,Male,Adult,No
1228,1st,Male,Adult,No
1229,2nd,Male,Adult,No
1230,3rd,Male,Adult,No
1231,Crew,Male,Adult,No
1232,Crew,Male,Adult,No
1233,Crew,Male,Adult,No
1234,1st,Male,Adult,No
1235,2nd,Male,Adult,No
1236,Crew,Male,Adult,No
1237,Crew,Male,Adult,No
1238,Crew,Male,Adult,No
1239,Crew,Male,Adult,No
1240,3rd,Female,Child,No
1241,1st,Male,Adult,No
1242,3rd,Female,Child,No
1243,1st,Female,Adult,Yes
1244,Crew,Male,Adult,No
1245,3rd,Male,Child,Yes
1246,Crew,Male,Adult,Yes
1247,3rd,Male,Adult,No
1248,3rd,Male,Adult,No
1249,Crew,Male,Adult,No
1250,3rd,Male,Adult,No
1251,Crew,Male,Adult,No
1252,Crew,Male,Adult,No
1253,Crew,Male,Adult,No
1254,3rd,Male,Adult,No
1255,2nd,Female,Adult,Yes
1256,3rd,Male,Adult,No
1257,3rd,Male,Adult,No
1258,1st,Female,Adult,Yes
1259,Crew,Male,Adult,No
1260,3rd,Male,Adult,Yes
1261,2nd,Male,Adult,No
1262,Crew,Male,Adult,No
1263,Crew,Male,Adult,No
1264,3rd,Female,Adult,No
1265,Crew,Male,Adult,Yes
1266,3rd,Male,Adult,No
1267,Crew,Male,Adult,Yes
1268,2nd,Female,Adult,Yes
1269,Crew,Male,Adult,Yes
1270,3rd,Male,Adult,No
1271,3rd,Male,Adult,No
1272,Crew,Male,Adult,Yes
1273,Crew,Male,Adult,No
1274,Crew,Male,Adult,No
1275,3rd,Female,Adult,Yes
1276,1st,Female,Adult,Yes
1277,Crew,Male,Adult,No
1278,2nd,Male,Adult,No
1279,2nd,Male,Adult,Yes
1280,Crew,Male,Adult,No
1281,1st,Female,Adult,Yes
1282,2nd,Female,Adult,Yes
1283,3rd,Female,Adult,No
1284,3rd,Male,Adult,No
1285,3rd,Male,Adult,No
1286,Crew,Male,Adult,No
1287,Crew,Male,Adult,Yes
1288,Crew,Male,Adult,No
1289,3rd,Male,Adult,No
1290,Crew,Male,Adult,No
1291,Crew,Male,Adult,Yes
1292,2nd,Male,Adult,No
1293,Crew,Male,Adult,No
1294,1st,Male,Adult,Yes
1295,Crew,Male,Adult,No
1296,1st,Female,Adult,No
1297,1st,Male,Adult,No
1298,3rd,Male,Adult,No
1299,Crew,Male,Adult,No
1300,3rd,Male,Adult,No
1301,Crew,Male,Adult,No
1302,Crew,Male,Adult,No
1303,Crew,Male,Adult,No
1304,Crew,Male,Adult,No
1305,Crew,Male,Adult,No
1306,1st,Female,Adult,Yes
1307,2nd,Male,Adult,No
1308,3rd,Male,Child,No
1309,Crew,Male,Adult,No
1310,3rd,Female,Adult,Yes
1311,3rd,Male,Adult,No
1312,Crew,Male,Adult,No
1313,3rd,Female,Adult,No
1314,Crew,Male,Adult,No
1315,3rd,Male,Adult,No
1316,Crew,Male,Adult,No
1317,Crew,Male,Adult,No
1318,Crew,Male,Adult,No
1319,3rd,Male,Adult,No
1320,3rd,Male,Adult,No
1321,1st,Male,Adult,No
1322,3rd,Male,Adult,No
1323,Crew,Male,Adult,No
1324,Crew,Male,Adult,Yes
1325,3rd,Male,Child,No
1326,Crew,Male,Adult,No
1327,Crew,Male,Adult,No
1328,3rd,Female,Adult,No
1329,Crew,Male,Adult,Yes
1330,Crew,Male,Adult,No
1331,1st,Male,Adult,No
1332,3rd,Male,Adult,No
1333,2nd,Female,Adult,Yes
1334,Crew,Male,Adult,Yes
1335,3rd,Male,Adult,No
1336,3rd,Male,Adult,No
1337,Crew,Male,Adult,No
1338,3rd,Male,Adult,No
1339,Crew,Male,Adult,No
1340,Crew,Male,Adult,Yes
1341,2nd,Male,Adult,Yes
1342,Crew,Male,Adult,No
1343,2nd,Male,Child,Yes
1344,1st,Female,Adult,Yes
1345,1st,Male,Adult,No
1346,3rd,Male,Adult,No
1347,3rd,Male,Adult,No
1348,2nd,Male,Adult,No
1349,Crew,Male,Adult,No
1350,Crew,Male,Adult,No
1351,3rd,Male,Adult,No
1352,3rd,Female,Child,No
1353,1st,Male,Adult,No
1354,3rd,Male,Adult,No
1355,1st,Male,Child,Yes
1356,Crew,Male,Adult,Yes
1357,Crew,Male,Adult,Yes
1358,3rd,Male,Adult,No
1359,3rd,Male,Adult,No
1360,3rd,Female,Adult,No
1361,Crew,Male,Adult,Yes
1362,1st,Female,Adult,Yes
1363,1st,Female,Adult,Yes
1364,Crew,Male,Adult,No
1365,Crew,Male,Adult,No
1366,2nd,Male,Child,Yes
1367,Crew,Male,Adult,No
1368,Crew,Male,Adult,No
1369,Crew,Male,Adult,Yes
1370,3rd,Male,Child,No
1371,Crew,Male,Adult,No
1372,3rd,Male,Adult,No
1373,Crew,Male,Adult,Yes
1374,3rd,Female,Child,No
1375,1st,Male,Adult,No
1376,1st,Female,Adult,Yes
1377,Crew,Male,Adult,No
1378,2nd,Female,Adult,Yes
1379,3rd,Male,Adult,No
1380,1st,Female,Adult,Yes
1381,Crew,Male,Adult,Yes
1382,Crew,Male,Adult,No
1383,3rd,Male,Child,No
1384,3rd,Male,Adult,No
1385,2nd,Male,Adult,Yes
1386,3rd,Male,Adult,No
1387,3rd,Male,Adult,No
1388,Crew,Male,Adult,No
1389,Crew,Male,Adult,No
1390,3rd,Female,Adult,No
1391,Crew,Male,Adult,No
1392,3rd,Male,Adult,Yes
1393,Crew,Male,Adult,Yes
1394,3rd,Male,Adult,No
1395,Crew,Male,Adult,No
1396,1st,Male,Adult,No
1397,Crew,Male,Adult,No
1398,3rd,Female,Child,No
1399,1st,Male,Adult,Yes
1400,Crew,Male,Adult,Yes
1401,Crew,Male,Adult,No
1402,3rd,Male,Adult,No
1403,3rd,Female,Adult,No
1404,1st,Male,Adult,Yes
1405,2nd,Male,Adult,Yes
1406,Crew,Male,Adult,No
1407,2nd,Male,Child,Yes
1408,Crew,Male,Adult,No
1409,Crew,Male,Adult,No
1410,3rd,Male,Adult,No
1411,Crew,Male,Adult,No
1412,1st,Male,Adult,Yes
1413,3rd,Male,Adult,No
1414,2nd,Male,Adult,No
1415,1st,Male,Adult,Yes
1416,Crew,Male,Adult,No
1417,3rd,Male,Adult,Yes
1418,1st,Male,Adult,No
1419,1st,Male,Adult,Yes
1420,2nd,Female,Adult,Yes
1421,3rd,Male,Adult,No
1422,3rd,Male,Adult,Yes
1423,Crew,Male,Adult,No
1424,Crew,Male,Adult,No
1425,1st,Male,Adult,No
1426,Crew,Male,Adult,No
1427,3rd,Male,Child,No
1428,Crew,Male,Adult,No
1429,2nd,Female,Adult,Yes
1430,1st,Female,Adult,Yes
1431,Crew,Male,Adult,No
1432,3rd,Male,Adult,No
1433,Crew,Male,Adult,No
1434,Crew,Male,Adult,No
1435,1st,Female,Adult,Yes
1436,3rd,Male,Adult,Yes
1437,3rd,Male,Adult,No
1438,1st,Male,Adult,No
1439,1st,Male,Adult,No
1440,3rd,Male,Adult,Yes
1441,2nd,Female,Adult,Yes
1442,3rd,Male,Adult,No
1443,Crew,Male,Adult,No
1444,2nd,Male,Adult,No
1445,3rd,Male,Adult,No
1446,Crew,Male,Adult,No
1447,Crew,Male,Adult,No
1448,1st,Female,Adult,Yes
1449,Crew,Male,Adult,No
1450,Crew,Male,Adult,No
1451,Crew,Male,Adult,No
1452,Crew,Male,Adult,No
1453,2nd,Male,Adult,No
1454,3rd,Male,Adult,No
1455,3rd,Male,Adult,No
1456,3rd,Male,Adult,No
1457,Crew,Male,Adult,No
1458,Crew,Male,Adult,Yes
1459,3rd,Female,Adult,Yes
1460,1st,Female,Adult,Yes
1461,Crew,Male,Adult,No
1462,1st,Male,Adult,No
1463,1st,Male,Adult,Yes
1464,Crew,Male,Adult,No
1465,1st,Male,Adult,No
1466,2nd,Male,Adult,No
1467,1st,Female,Adult,Yes
1468,1st,Male,Adult,No
1469,1st,Male,Adult,No
1470,Crew,Male,Adult,Yes
1471,2nd,Female,Adult,No
1472,2nd,Male,Adult,Yes
1473,1st,Male,Adult,No
1474,2nd,Male,Adult,No
1475,1st,Male,Adult,No
1476,1st,Male,Adult,Yes
1477,Crew,Male,Adult,No
1478,3rd,Female,Adult,No
1479,3rd,Female,Child,Yes
1480,3rd,Male,Adult,No
1481,2nd,Male,Adult,No
1482,3rd,Male,Adult,Yes
