passenger_number,Class,Sex,Age,Survived
1483,3rd,Female,Adult,Yes
1484,3rd,Male,Adult,No
1485,3rd,Female,Adult,Yes
1486,1st,Male,Adult,Yes
1487,Crew,Male,Adult,No
1488,Crew,Male,Adult,Yes
1489,1st,Male,Adult,No
1490,Crew,Male,Adult,Yes
1491,3rd,Female,Adult,Yes
1492,1st,Female,Adult,Yes
1493,Crew,Male,Adult,No
1494,3rd,Male,Adult,No
1495,3rd,Female,Adult,Yes
1496,1st,Female,Adult,Yes
1497,2nd,Male,Adult,No
1498,2nd,Female,Adult,No
1499,2nd,Female,Adult,Yes
1500,3rd,Female,Adult,Yes
1501,Crew,Male,Adult,Yes
1502,3rd,Male,Adult,No
1503,1st,Male,Adult,No
1504,3rd,Male,Adult,No
1505,Crew,Male,Adult,No
1506,2nd,Male,Adult,No
1507,3rd,Male,Adult,No
1508,Crew,Male,Adult,No
1509,3rd,Male,Adult,No
1510,Crew,Male,Adult,Yes
1511,2nd,Female,Adult,Yes
1512,3rd,Male,Child,Yes
1513,Crew,Male,Adult,No
1514,Crew,Male,Adult,No
1515,Crew,Male,Adult,No
1516,Crew,Male,Adult,No
1517,2nd,Male,Child,Yes
1518,2nd,Male,Adult,No
1519,2nd,Male,Adult,No
1520,3rd,Male,Adult,No
1521,Crew,Male,Adult,No
1522,Crew,Male,Adult,Yes
1523,3rd,Male,Adult,No
1524,Crew,Male,Adult,No
1525,Crew,Male,Adult,Yes
1526,Crew,Male,Adult,Yes
1527,2nd,Male,Adult,No
1528,Crew,Male,Adult,No
1529,1st,Male,Adult,Yes
1530,2nd,Female,Child,Yes
1531,3rd,Male,Adult,No
1532,1st,Male,Adult,No
1533,3rd,Female,Child,Yes
1534,3rd,Female,Adult,No
1535,Crew,Male,Adult,No
1536,2nd,Male,Adult,No
1537,Crew,Male,Adult,No
1538,1st,Male,Adult,Yes
1539,3rd,Male,Adult,No
1540,2nd,Female,Adult,Yes
1541,3rd,Male,Adult,No
1542,1st,Male,Adult,No
1543,3rd,Male,Adult,No
1544,3rd,Male,Adult,No
1545,Crew,Male,Adult,Yes
1546,1st,Male,Adult,No
1547,Crew,Male,Adult,Yes
1548,3rd,Male,Adult,Yes
1549,Crew,Male,Adult,No
1550,3rd,Male,Adult,No
1551,3rd,Male,Adult,No
1552,3rd,Male,Adult,Yes
1553,Crew,Male,Adult,Yes
1554,3rd,Male,Adult,No
1555,2nd,Male,Adult,No
1556,1st,Male,Adult,No
1557,Crew,Male,Adult,No
1558,Crew,Male,Adult,No
1559,3rd,Male,Child,No
1560,Crew,Male,Adult,No
1561,1st,Female,Adult,No
1562,3rd,Male,Adult,No
1563,3rd,Male,Adult,No
1564,2nd,Male,Adult,No
1565,2nd,Female,Adult,No
1566,1st,Male,Adult,No
1567,2nd,Male,Adult,No
1568,3rd,Male,Adult,No
1569,Crew,Male,Adult,No
1570,Crew,Male,Adult,No
1571,Crew,Male,Adult,No
1572,3rd,Female,Child,Yes
1573,3rd,Male,Adult,No
1574,Crew,Male,Adult,No
1575,Crew,Male,Adult,Yes
1576,Crew,Male,Adult,Yes
1577,Crew,Male,Adult,Yes
1578,Crew,Male,Adult,No
1579,Crew,Male,Adult,No
1580,Crew,Male,Adult,No
1581,1st,Male,Adult,No
1582,2nd,Male,Adult,No
1583,Crew,Male,Adult,No
1584,Crew,Male,Adult,No
1585,1st,Female,Adult,Yes
1586,3rd,Female,Adult,No
1587,1st,Male,Adult,No
1588,2nd,Female,Adult,Yes
1589,3rd,Male,Adult,Yes
1590,Crew,Male,Adult,No
1591,1st,Female,Adult,Yes
1592,2nd,Male,Adult,No
1593,3rd,Male,Adult,No
1594,3rd,Male,Adult,No
1595,3rd,Male,Adult,No
1596,Crew,Male,Adult,No
1597,2nd,Female,Adult,Yes
1598,Crew,Male,Adult,Yes
1599,Crew,Male,Adult,No
1600,3rd,Female,Child,Yes
1601,3rd,Male,Adult,No
1602,3rd,Female,Child,No
1603,2nd,Male,Adult,No
1604,1st,Female,Adult,No
1605,1st,Female,Adult,Yes
1606,2nd,Female,Adult,Yes
1607,1st,Female,Adult,Yes
1608,Crew,Male,Adult,No
1609,Crew,Male,Adult,No
1610,3rd,Male,Adult,No
1611,3rd,Male,Adult,No
1612,Crew,Male,Adult,No
1613,3rd,Female,Child,Yes
1614,1st,Female,Adult,Yes
1615,2nd,Male,Adult,No
1616,1st,Male,Adult,Yes
1617,3rd,Male,Child,No
1618,Crew,Male,Adult,No
1619,Crew,Male,Adult,No
1620,1st,Female,Adult,Yes
1621,Crew,Male,Adult,No
1622,Crew,Male,Adult,No
1623,Crew,Male,Adult,No
1624,1st,Female,Adult,Yes
1625,Crew,Male,Adult,No
1626,3rd,Male,Adult,No
1627,3rd,Female,Adult,No
1628,Crew,Female,Adult,Yes
1629,3rd,Male,Adult,No
1630,3rd,Male,Child,Yes
1631,3rd,Male,Adult,No
1632,Crew,Male,Adult,No
1633,3rd,Female,Adult,No
1634,3rd,Male,Adult,No
1635,2nd,Male,Adult,No
1636,1st,Male,Adult,No
1637,Crew,Male,Adult,No
1638,3rd,Male,Adult,No
1639,2nd,Female,Child,Yes
1640,Crew,Male,Adult,No
1641,Crew,Male,Adult,No
1642,Crew,Male,Adult,Yes
1643,Crew,Male,Adult,No
1644,Crew,Male,Adult,No
1645,Crew,Male,Adult,No
1646,Crew,Male,Adult,Yes
1647,1st,Male,Adult,Yes
1648,3rd,Female,Adult,No
1649,Crew,Male,Adult,No
1650,Crew,Male,Adult,No
1651,1st,Male,Adult,Yes
1652,Crew,Male,Adult,Yes
1653,Crew,Male,Adult,No
1654,1st,Male,Adult,Yes
1655,3rd,Male,Adult,No
1656,3rd,Male,Adult,No
1657,3rd,Male,Adult,No
1658,Crew,Male,Adult,No
1659,3rd,Male,Adult,No
1660,Crew,Male,Adult,No
1661,3rd,Female,Child,No
1662,2nd,Male,Adult,No
1663,Crew,Male,Adult,No
1664,Crew,Male,Adult,Yes
1665,2nd,Male,Adult,No
1666,Crew,Male,Adult,Yes
1667,1st,Female,Adult,Yes
1668,3rd,Male,Adult,No
1669,Crew,Male,Adult,No
1670,Crew,Male,Adult,Yes
1671,1st,Female,Adult,Yes
1672,Crew,Male,Adult,Yes
1673,3rd,Male,Adult,Yes
1674,1st,Female,Adult,Yes
1675,1st,Male,Adult,Yes
1676,1st,Male,Adult,No
1677,3rd,Female,Adult,Yes
1678,Crew,Male,Adult,No
1679,Crew,Male,Adult,No
1680,Crew,Male,Adult,No
1681,3rd,Male,Adult,No
1682,Crew,Male,Adult,No
1683,1st,Male,Adult,No
1684,3rd,Female,Adult,No
1685,3rd,Male,Adult,No
1686,3rd,Female,Adult,Yes
1687,3rd,Male,Adult,No
1688,Crew,Male,Adult,No
1689,Crew,Male,Adult,No
1690,3rd,Female,Adult,No
1691,3rd,Male,Adult,No
1692,Crew,Male,Adult,No
1693,3rd,Female,Adult,No
1694,1st,Male,Child,Yes
1695,2nd,Female,Adult,Yes
1696,3rd,Male,Adult,No
1697,3rd,Male,Adult,No
1698,1st,Male,Adult,No
1699,2nd,Female,Adult,Yes
1700,2nd,Female,Adult,No
1701,Crew,Male,Adult,No
1702,3rd,Male,Adult,No
1703,3rd,Male,Adult,No
1704,Crew,Male,Adult,No
1705,Crew,Male,Adult,No
1706,3rd,Male,Adult,No
1707,Crew,Male,Adult,Yes
1708,3rd,Male,Adult,No
1709,1st,Female,Adult,Yes
1710,Crew,Male,Adult,No
1711,1st,Female,Adult,Yes
1712,1st,Female,Adult,Yes
1713,2nd,Female,Adult,Yes
1714,1st,Male,Adult,No
1715,Crew,Male,Adult,No
1716,2nd,Male,Adult,No
1717,2nd,Male,Adult,No
1718,2nd,Male,Adult,No
1719,1st,Female,Adult,Yes
1720,1st,Male,Adult,Yes
1721,3rd,Male,Adult,No
1722,Crew,Male,Adult,No
1723,Crew,Male,Adult,No
1724,2nd,Male,Adult,No
1725,Crew,Male,Adult,No
1726,2nd,Female,Adult,Yes
1727,2nd,Male,Adult,No
1728,3rd,Male,Adult,No
1729,Crew,Male,Adult,No
1730,Crew,Male,Adult,No
1731,Crew,Male,Adult,No
1732,3rd,Male,Adult,No
1733,Crew,Male,Adult,Yes
1734,1st,Male,Adult,Yes
1735,2nd,Male,Adult,No
1736,2nd,Male,Adult,No
1737,3rd,Male,Adult,No
1738,3rd,Female,Adult,No
1739,1st,Male,Adult,No
1740,3rd,Female,Adult,No
1741,Crew,Male,Adult,Yes
1742,Crew,Male,Adult,No
1743,Crew,Female,Adult,Yes
1744,Crew,Male,Adult,No
1745,3rd,Female,Adult,Yes
1746,3rd,Male,Adult,No
1747,1st,Male,Adult,Yes
1748,3rd,Male,Adult,No
1749,1st,Male,Adult,No
1750,Crew,Male,Adult,Yes
1751,3rd,Male,Adult,No
1752,2nd,Female,Adult,Yes
1753,Crew,Male,Adult,Yes
1754,Crew,Male,Adult,No
1755,3rd,Male,Child,No
1756,3rd,Male,Adult,No
1757,3rd,Female,Adult,No
1758,2nd,Female,Adult,Yes
1759,Crew,Male,Adult,No
1760,3rd,Male,Adult,No
1761,1st,Female,Adult,Yes
1762,3rd,Male,Adult,Yes
1763,Crew,Male,Adult,Yes
1764,Crew,Male,Adult,Yes
1765,Crew,Male,Adult,Yes
1766,Crew,Male,Adult,No
1767,Crew,Female,Adult,Yes
1768,Crew,Male,Adult,No
1769,Crew,Male,Adult,No
1770,3rd,Male,Adult,No
1771,Crew,Male,Adult,No
1772,2nd,Female,Adult,Yes
1773,2nd,Male,Child,Yes
1774,1st,Male,Adult,Yes
1775,Crew,Male,Adult,No
1776,3rd,Male,Adult,No
1777,Crew,Male,Adult,No
1778,1st,Male,Adult,No
1779,Crew,Male,Adult,No
1780,1st,Male,Adult,No
1781,3rd,Female,Adult,No
1782,3rd,Male,Adult,No
1783,3rd,Male,Adult,No
1784,Crew,Male,Adult,No
1785,1st,Female,Adult,Yes
1786,Crew,Male,Adult,Yes
1787,3rd,Male,Adult,No
1788,2nd,Female,Adult,No
1789,3rd,Male,Adult,No
1790,3rd,Male,Adult,No
1791,1st,Female,Adult,Yes
1792,3rd,Female,Adult,Yes
1793,Crew,Male,Adult,Yes
1794,3rd,Male,Adult,No
1795,1st,Female,Adult,Yes
1796,Crew,Male,Adult,No
1797,2nd,Male,Adult,No
1798,2nd,Female,Adult,Yes
1799,Crew,Male,Adult,No
1800,3rd,Male,Adult,No
1801,3rd,Female,Adult,Yes
1802,2nd,Male,Adult,No
1803,Crew,Male,Adult,No
1804,3rd,Female,Adult,No
1805,2nd,Male,Adult,No
1806,2nd,Male,Adult,No
1807,3rd,Male,Adult,No
1808,Crew,Male,Adult,No
1809,Crew,Male,Adult,No
1810,1st,Male,Adult,Yes
1811,Crew,Female,Adult,No
1812,3rd,Female,Adult,Yes
1813,Crew,Male,Adult,No
1814,1st,Female,Adult,Yes
1815,Crew,Male,Adult,No
1816,Crew,Male,Adult,No
1817,3rd,Female,Adult,Yes
1818,3rd,Male,Adult,Yes
1819,1st,Female,Adult,Yes
1820,3rd,Female,Adult,No
1821,Crew,Male,Adult,Yes
1822,3rd,Female,Adult,No
1823,Crew,Male,Adult,No
1824,3rd,Male,Adult,No
1825,2nd,Male,Adult,No
1826,Crew,Male,Adult,No
1827,1st,Female,Adult,Yes
1828,3rd,Male,Adult,No
1829,Crew,Male,Adult,Yes
1830,Crew,Male,Adult,No
1831,3rd,Male,Adult,No
1832,Crew,Male,Adult,No
1833,Crew,Male,Adult,No
1834,3rd,Female,Adult,Yes
1835,Crew,Male,Adult,No
1836,2nd,Male,Adult,No
1837,Crew,Male,Adult,Yes
1838,1st,Male,Adult,No
1839,Crew,Male,Adult,No
1840,1st,Male,Adult,No
1841,3rd,Male,Child,No
1842,Crew,Male,Adult,No
1843,3rd,Female,Adult,Yes
1844,Crew,Male,Adult,No
1845,Crew,Male,Adult,No
1846,3rd,Male,Adult,No
1847,Crew,Male,Adult,Yes
1848,3rd,Male,Adult,Yes
1849,Crew,Male,Adult,No
1850,1st,Female,Adult,Yes
1851,2nd,Male,Adult,Yes
1852,3rd,Female,Adult,No
1853,3rd,Male,Child,No
1854,2nd,Female,Child,Yes
1855,1st,Male,Adult,Yes
1856,3rd,Male,Adult,No
1857,Crew,Male,Adult,No
1858,Crew,Male,Adult,No
1859,3rd,Male,Adult,No
1860,1st,Male,Adult,No
1861,3rd,Male,Adult,No
1862,3rd,Female,Adult,Yes
1863,1st,Male,Adult,No
1864,3rd,Male,Child,Yes
1865,Crew,Male,Adult,No
1866,Crew,Male,Adult,No
1867,Crew,Male,Adult,No
1868,Crew,Male,Adult,No
1869,Crew,Female,Adult,Yes
1870,Crew,Male,Adult,No
1871,3rd,Female,Child,No
1872,Crew,Male,Adult,No
1873,3rd,Male,Child,No
1874,2nd,Male,Adult,No
1875,2nd,Male,Adult,No
1876,Crew,Male,Adult,No
1877,1st,Female,Adult,Yes
1878,2nd,Male,Adult,No
1879,3rd,Female,Adult,Yes
1880,Crew,Male,Adult,No
1881,1st,Male,Child,Yes
1882,3rd,Male,Adult,Yes
1883,3rd,Male,Child,Yes
1884,3rd,Male,Child,No
1885,3rd,Male,Adult,Yes
1886,Crew,Male,Adult,No
1887,Crew,Male,Adult,No
1888,2nd,Female,Adult,Yes
1889,Crew,Male,Adult,No
1890,Crew,Male,Adult,Yes
1891,3rd,Female,Adult,Yes
1892,2nd,Male,Adult,No
1893,Crew,Male,Adult,No
1894,Crew,Male,Adult,No
1895,3rd,Male,Adult,No
1896,3rd,Male,Adult,No
1897,2nd,Male,Adult,No
1898,1st,Female,Adult,Yes
1899,Crew,Male,Adult,No
1900,Crew,Male,Adult,No
1901,Crew,Male,Adult,No
1902,1st,Male,Adult,No
1903,3rd,Female,Adult,No
1904,Crew,Male,Adult,No
1905,Crew,Male,Adult,No
1906,3rd,Male,Adult,No
1907,3rd,Male,Adult,Yes
1908,2nd,Male,Adult,No
1909,Crew,Male,Adult,No
1910,1st,Female,Child,Yes
1911,Crew,Male,Adult,Yes
1912,1st,Female,Adult,Yes
1913,Crew,Male,Adult,No
1914,Crew,Male,Adult,No
1915,Crew,Male,Adult,No
1916,1st,Female,Adult,Yes
1917,Crew,Male,Adult,No
1918,Crew,Male,Adult,No
1919,Crew,Male,Adult,No
1920,Crew,Male,Adult,No
1921,1st,Male,Adult,No
1922,3rd,Female,Adult,Yes
1923,2nd,Female,Child,Yes
1924,3rd,Female,Adult,Yes
1925,3rd,Male,Adult,No
1926,2nd,Male,Adult,No
1927,2nd,Female,Adult,Yes
1928,3rd,Female,Adult,No
1929,Crew,Male,Adult,Yes
1930,2nd,Male,Adult,No
1931,3rd,Male,Adult,Yes
1932,2nd,Male,Adult,No
1933,2nd,Female,Adult,Yes
1934,Crew,Male,Adult,No
1935,Crew,Male,Adult,No
1936,3rd,Male,Adult,No
1937,1st,Male,Adult,No
1938,2nd,Male,Adult,No
1939,Crew,Male,Adult,No
1940,2nd,Female,Adult,Yes
1941,2nd,Male,Adult,No
1942,3rd,Male,Adult,No
1943,Crew,Male,Adult,No
1944,Crew,Male,Adult,No
1945,2nd,Female,Adult,Yes
1946,Crew,Male,Adult,No
1947,Crew,Male,Adult,No
1948,Crew,Male,Adult,Yes
1949,2nd,Male,Adult,No
1950,Crew,Male,Adult,No
1951,Crew,Male,Adult,No
1952,Crew,Male,Adult,Yes
1953,2nd,Female,Adult,Yes
1954,1st,Female,Adult,Yes
1955,1st,Female,Adult,Yes
1956,2nd,Male,Adult,No
1957,Crew,Male,Adult,No
1958,Crew,Female,Adult,No
1959,Crew,Male,Adult,Yes
1960,3rd,Male,Adult,No
1961,3rd,Male,Adult,No
1962,3rd,Male,Child,No
1963,Crew,Male,Adult,No
1964,Crew,Male,Adult,No
1965,3rd,Male,Adult,No
1966,1st,Male,Adult,Yes
1967,Crew,Male,Adult,No
1968,Crew,Male,Adult,No
1969,Crew,Male,Adult,No
1970,3rd,Male,Adult,No
1971,Crew,Male,Adult,No
1972,Crew,Male,Adult,No
1973,Crew,Male,Adult,No
1974,Crew,Male,Adult,Yes
1975,1st,Male,Adult,No
1976,3rd,Male,Adult,No
1977,Crew,Male,Adult,Yes
1978,Crew,Male,Adult,No
1979,2nd,Female,Adult,Yes
1980,3rd,Male,Adult,No
1981,Crew,Male,Adult,No
1982,2nd,Male,Adult,No
1983,1st,Female,Adult,Yes
1984,3rd,Female,Adult,No
1985,1st,Female,Adult,Yes
1986,3rd,Male,Adult,Yes
1987,3rd,Female,Adult,Yes
1988,2nd,Male,Adult,No
1989,3rd,Male,Adult,No
1990,3rd,Male,Adult,No
1991,Crew,Male,Adult,No
1992,3rd,Female,Adult,No
1993,Crew,Male,Adult,No
1994,3rd,Female,Child,Yes
1995,2nd,Female,Adult,Yes
1996,2nd,Male,Adult,No
1997,1st,Male,Adult,No
1998,3rd,Male,Adult,No
1999,Crew,Male,Adult,No
2000,3rd,Female,Adult,No
2001,Crew,Male,Adult,Yes
2002,Crew,Male,Adult,Yes
2003,Crew,Male,Adult,No
2004,1st,Female,Adult,Yes
2005,Crew,Male,Adult,No
2006,2nd,Male,Adult,No
2007,2nd,Male,Adult,No
2008,1st,Female,Adult,Yes
2009,3rd,Male,Adult,No
2010,3rd,Male,Adult,No
2011,Crew,Male,Adult,Yes
2012,3rd,Male,Adult,No
2013,3rd,Female,Adult,No
2014,Crew,Male,Adult,Yes
2015,3rd,Female,Adult,Yes
2016,3rd,Male,Adult,No
2017,Crew,Male,Adult,No
2018,Crew,Male,Adult,No
2019,1st,Male,Adult,No
2020,1st,Male,Adult,No
2021,2nd,Female,Adult,Yes
2022,Crew,Male,Adult,No
2023,Crew,Male,Adult,No
2024,Crew,Female,Adult,No
2025,3rd,Female,Adult,Yes
2026,3rd,Female,Child,No
2027,Crew,Male,Adult,No
2028,3rd,Male,Child,No
2029,3rd,Male,Child,No
2030,3rd,Male,Adult,No
2031,Crew,Male,Adult,No
2032,3rd,Male,Adult,No
2033,3rd,Female,Adult,Yes
2034,Crew,Male,Adult,No
2035,3rd,Male,Adult,No
2036,Crew,Male,Adult,Yes
2037,2nd,Male,Adult,No
2038,Crew,Male,Adult,No
2039,Crew,Male,Adult,No
2040,3rd,Male,Adult,No
2041,3rd,Male,Adult,Yes
2042,Crew,Male,Adult,Yes
2043,3rd,Male,Adult,No
2044,Crew,Male,Adult,No
2045,3rd,Male,Adult,No
2046,3rd,Male,Adult,No
2047,Crew,Male,Adult,Yes
2048,3rd,Male,Adult,No
2049,Crew,Male,Adult,No
2050,2nd,Female,Adult,No
2051,2nd,Male,Adult,No
2052,Crew,Male,Adult,No
2053,2nd,Male,Adult,No
2054,3rd,Male,Adult,No
2055,2nd,Male,Adult,No
2056,Crew,Male,Adult,No
2057,2nd,Female,Adult,Yes
2058,Crew,Male,Adult,No
2059,3rd,Male,Child,No
2060,Crew,Male,Adult,No
2061,3rd,Male,Adult,No
2062,Crew,Male,Adult,Yes
2063,Crew,Male,Adult,No
2064,3rd,Male,Adult,Yes
2065,3rd,Male,Adult,No
2066,1st,Female,Adult,Yes
2067,Crew,Male,Adult,No
2068,3rd,Female,Adult,No
2069,1st,Female,Adult,Yes
2070,3rd,Male,Child,No
2071,3rd,Male,Adult,No
2072,3rd,Female,Adult,Yes
2073,3rd,Male,Adult,No
2074,Crew,Male,Adult,No
2075,1st,Female,Adult,Yes
2076,1st,Male,Adult,Yes
2077,3rd,Male,Adult,No
2078,Crew,Male,Adult,No
2079,Crew,Male,Adult,No
2080,Crew,Male,Adult,No
2081,3rd,Male,Adult,No
2082,3rd,Male,Child,Yes
2083,3rd,Male,Adult,Yes
2084,3rd,Male,Adult,No
2085,3rd,Male,Adult,No
2086,1st,Female,Adult,Yes
2087,3rd,Male,Adult,Yes
2088,1st,Male,Adult,Yes
2089,3rd,Male,Adult,Yes
2090,1st,Male,Adult,No
2091,Crew,Female,Adult,Yes
2092,3rd,Female,Adult,No
2093,Crew,Male,Adult,No
2094,2nd,Female,Adult,Yes
2095,2nd,Female,Adult,Yes
2096,2nd,Female,Child,Yes
2097,Crew,Male,Adult,No
2098,3rd,Female,Adult,Yes
2099,2nd,Male,Adult,Yes
2100,1st,Male,Adult,Yes
2101,3rd,Male,Adult,No
2102,2nd,Female,Adult,Yes
2103,1st,Female,Adult,Yes
2104,Crew,Male,Adult,No
2105,Crew,Male,Adult,No
2106,Crew,Male,Adult,No
2107,2nd,Male,Adult,No
2108,Crew,Male,Adult,No
2109,1st,Male,Adult,Yes
2110,1st,Male,Adult,No
2111,3rd,Male,Adult,No
2112,Crew,Male,Adult,Yes
2113,1st,Male,Adult,Yes
2114,Crew,Male,Adult,Yes
2115,3rd,Male,Adult,No
2116,2nd,Female,Adult,Yes
2117,Crew,Male,Adult,Yes
2118,Crew,Male,Adult,No
2119,2nd,Male,Adult,No
2120,Crew,Male,Adult,No
2121,Crew,Male,Adult,Yes
2122,Crew,Male,Adult,Yes
2123,1st,Female,Adult,Yes
2124,Crew,Female,Adult,Yes
2125,3rd,Male,Adult,Yes
2126,3rd,Male,Adult,No
2127,3rd,Female,Adult,Yes
2128,Crew,Male,Adult,No
2129,Crew,Male,Adult,No
2130,Crew,Male,Adult,No
2131,Crew,Male,Adult,No
2132,Crew,Male,Adult,No
2133,Crew,Male,Adult,No
2134,3rd,Male,Adult,No
2135,3rd,Male,Adult,No
2136,3rd,Male,Adult,No
2137,Crew,Male,Adult,Yes
2138,Crew,Male,Adult,No
2139,Crew,Female,Adult,Yes
2140,3rd,Male,Adult,No
2141,3rd,Male,Adult,No
2142,3rd,Female,Adult,No
2143,Crew,Male,Adult,No
2144,Crew,Male,Adult,No
2145,3rd,Male,Adult,No
2146,3rd,Male,Adult,No
2147,Crew,Male,Adult,No
2148,Crew,Male,Adult,No
2149,Crew,Male,Adult,No
2150,3rd,Male,Adult,No
2151,Crew,Male,Adult,No
2152,3rd,Male,Adult,Yes
2153,Crew,Male,Adult,Yes
2154,3rd,Male,Adult,No
2155,2nd,Male,Adult,No
2156,Crew,Male,Adult,No
2157,3rd,Female,Adult,No
2158,2nd,Male,Adult,No
2159,Crew,Male,Adult,No
2160,Crew,Male,Adult,No
2161,3rd,Female,Adult,Yes
2162,Crew,Male,Adult,Yes
2163,1st,Male,Adult,No
2164,3rd,Male,Adult,Yes
2165,Crew,Female,Adult,Yes
2166,3rd,Female,Adult,Yes
2167,2nd,Male,Adult,No
2168,2nd,Male,Adult,No
2169,3rd,Female,Adult,Yes
2170,3rd,Female,Adult,Yes
2171,Crew,Male,Adult,Yes
2172,3rd,Female,Adult,Yes
2173,3rd,Male,Adult,No
2174,Crew,Male,Adult,No
2175,3rd,Female,Adult,Yes
2176,1st,Male,Adult,No
2177,3rd,Male,Adult,No
2178,Crew,Male,Adult,Yes
2179,Crew,Male,Adult,Yes
2180,Crew,Female,Adult,Yes
2181,1st,Male,Adult,No
2182,Crew,Male,Adult,Yes
2183,1st,Male,Adult,Yes
2184,Crew,Male,Adult,No
2185,Crew,Male,Adult,No
2186,1st,Female,Adult,Yes
2187,3rd,Male,Adult,No
2188,3rd,Male,Adult,No
2189,2nd,Male,Adult,No
2190,Crew,Male,Adult,Yes
2191,Crew,Male,Adult,Yes
2192,Crew,Male,Adult,No
2193,Crew,Male,Adult,No
2194,2nd,Male,Adult,No
2195,3rd,Male,Adult,Yes
2196,Crew,Male,Adult,Yes
2197,Crew,Male,Adult,No
2198,Crew,Male,Adult,Yes
2199,3rd,Male,Adult,No
2200,Crew,Male,Adult,No
2201,1st,Male,Adult,No
